Sekce,Typ otázky,Otázka,Správná odpověď,Vysvětlení
B,Následující zastávka,"Linka 9 – jaká zastávka NÁSLEDUJE po „Buzkova"" (směr Židenice Juliánov)?",Otakara Ševčíka (Táborská),Po zastávce Buzkova na lince 9 (směr Židenice Juliánov) následuje Otakara Ševčíka (Táborská).
B,Následující zastávka,"Linka 9 – jaká zastávka NÁSLEDUJE po „Otakara Ševčíka (Táborská)"" (směr Židenice Juliánov)?",Dělnický dům,Po zastávce Otakara Ševčíka (Táborská) na lince 9 (směr Židenice Juliánov) následuje Dělnický dům.
B,Následující zastávka,"Linka 9 – jaká zastávka NÁSLEDUJE po „Dělnický dům"" (směr Židenice Juliánov)?",Židenice Juliánov,Po zastávce Dělnický dům na lince 9 (směr Židenice Juliánov) následuje Židenice Juliánov.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Halasovo náměstí"" (směr Židenice Juliánov)?",Lesná Čertova rokle,Před zastávkou Halasovo náměstí na lince 9 je Lesná Čertova rokle.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Fügnerova"" (směr Židenice Juliánov)?",Halasovo náměstí,Před zastávkou Fügnerova na lince 9 je Halasovo náměstí.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Bieblova"" (směr Židenice Juliánov)?",Fügnerova,Před zastávkou Bieblova na lince 9 je Fügnerova.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Lesnická"" (směr Židenice Juliánov)?",Bieblova,Před zastávkou Lesnická na lince 9 je Bieblova.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Zemědělská (Lesnická)"" (směr Židenice Juliánov)?",Lesnická,Před zastávkou Zemědělská (Lesnická) na lince 9 je Lesnická.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Tomanova"" (směr Židenice Juliánov)?",Zemědělská (Lesnická),Před zastávkou Tomanova na lince 9 je Zemědělská (Lesnická).
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Jugoslávská (Lesná)"" (směr Židenice Juliánov)?",Tomanova,Před zastávkou Jugoslávská (Lesná) na lince 9 je Tomanova.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Dětská nemocnice"" (směr Židenice Juliánov)?",Jugoslávská (Lesná),Před zastávkou Dětská nemocnice na lince 9 je Jugoslávská (Lesná).
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Náměstí 28. října"" (směr Židenice Juliánov)?",Dětská nemocnice,Před zastávkou Náměstí 28. října na lince 9 je Dětská nemocnice.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Moravské náměstí (Černá Pole)"" (směr Židenice Juliánov)?",Náměstí 28. října,Před zastávkou Moravské náměstí (Černá Pole) na lince 9 je Náměstí 28. října.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Česká (před kostelem)"" (směr Židenice Juliánov)?",Moravské náměstí (Černá Pole),Před zastávkou Česká (před kostelem) na lince 9 je Moravské náměstí (Černá Pole).
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Náměstí Svobody"" (směr Židenice Juliánov)?",Česká (před kostelem),Před zastávkou Náměstí Svobody na lince 9 je Česká (před kostelem).
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Zelný trh"" (směr Židenice Juliánov)?",Náměstí Svobody,Před zastávkou Zelný trh na lince 9 je Náměstí Svobody.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Hlavní nádraží (kolej 2)"" (směr Židenice Juliánov)?",Zelný trh,Před zastávkou Hlavní nádraží (kolej 2) na lince 9 je Zelný trh.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Vlhká"" (směr Židenice Juliánov)?",Hlavní nádraží (kolej 2),Před zastávkou Vlhká na lince 9 je Hlavní nádraží (kolej 2).
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Masná (Křenová)"" (směr Židenice Juliánov)?",Vlhká,Před zastávkou Masná (Křenová) na lince 9 je Vlhká.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Životského"" (směr Židenice Juliánov)?",Masná (Křenová),Před zastávkou Životského na lince 9 je Masná (Křenová).
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Geislerova"" (směr Židenice Juliánov)?",Životského,Před zastávkou Geislerova na lince 9 je Životského.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Buzkova"" (směr Židenice Juliánov)?",Geislerova,Před zastávkou Buzkova na lince 9 je Geislerova.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Otakara Ševčíka (Táborská)"" (směr Židenice Juliánov)?",Buzkova,Před zastávkou Otakara Ševčíka (Táborská) na lince 9 je Buzkova.
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Dělnický dům"" (směr Židenice Juliánov)?",Otakara Ševčíka (Táborská),Před zastávkou Dělnický dům na lince 9 je Otakara Ševčíka (Táborská).
B,Předchozí zastávka,"Linka 9 – jaká zastávka PŘEDCHÁZÍ zastávce „Židenice Juliánov"" (směr Židenice Juliánov)?",Dělnický dům,Před zastávkou Židenice Juliánov na lince 9 je Dělnický dům.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Lesná Čertova rokle"" → ??? → „Fügnerova""",Halasovo náměstí,Chybějící zastávka mezi Lesná Čertova rokle a Fügnerova na lince 9 je Halasovo náměstí.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Halasovo náměstí"" → ??? → „Bieblova""",Fügnerova,Chybějící zastávka mezi Halasovo náměstí a Bieblova na lince 9 je Fügnerova.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Fügnerova"" → ??? → „Lesnická""",Bieblova,Chybějící zastávka mezi Fügnerova a Lesnická na lince 9 je Bieblova.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Bieblova"" → ??? → „Zemědělská (Lesnická)""",Lesnická,Chybějící zastávka mezi Bieblova a Zemědělská (Lesnická) na lince 9 je Lesnická.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Lesnická"" → ??? → „Tomanova""",Zemědělská (Lesnická),Chybějící zastávka mezi Lesnická a Tomanova na lince 9 je Zemědělská (Lesnická).
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Zemědělská (Lesnická)"" → ??? → „Jugoslávská (Lesná)""",Tomanova,Chybějící zastávka mezi Zemědělská (Lesnická) a Jugoslávská (Lesná) na lince 9 je Tomanova.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Tomanova"" → ??? → „Dětská nemocnice""",Jugoslávská (Lesná),Chybějící zastávka mezi Tomanova a Dětská nemocnice na lince 9 je Jugoslávská (Lesná).
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Jugoslávská (Lesná)"" → ??? → „Náměstí 28. října""",Dětská nemocnice,Chybějící zastávka mezi Jugoslávská (Lesná) a Náměstí 28. října na lince 9 je Dětská nemocnice.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Dětská nemocnice"" → ??? → „Moravské náměstí (Černá Pole)""",Náměstí 28. října,Chybějící zastávka mezi Dětská nemocnice a Moravské náměstí (Černá Pole) na lince 9 je Náměstí 28. října.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Náměstí 28. října"" → ??? → „Česká (před kostelem)""",Moravské náměstí (Černá Pole),Chybějící zastávka mezi Náměstí 28. října a Česká (před kostelem) na lince 9 je Moravské náměstí (Černá Pole).
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Moravské náměstí (Černá Pole)"" → ??? → „Náměstí Svobody""",Česká (před kostelem),Chybějící zastávka mezi Moravské náměstí (Černá Pole) a Náměstí Svobody na lince 9 je Česká (před kostelem).
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Česká (před kostelem)"" → ??? → „Zelný trh""",Náměstí Svobody,Chybějící zastávka mezi Česká (před kostelem) a Zelný trh na lince 9 je Náměstí Svobody.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Náměstí Svobody"" → ??? → „Hlavní nádraží (kolej 2)""",Zelný trh,Chybějící zastávka mezi Náměstí Svobody a Hlavní nádraží (kolej 2) na lince 9 je Zelný trh.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Zelný trh"" → ??? → „Vlhká""",Hlavní nádraží (kolej 2),Chybějící zastávka mezi Zelný trh a Vlhká na lince 9 je Hlavní nádraží (kolej 2).
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Hlavní nádraží (kolej 2)"" → ??? → „Masná (Křenová)""",Vlhká,Chybějící zastávka mezi Hlavní nádraží (kolej 2) a Masná (Křenová) na lince 9 je Vlhká.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Vlhká"" → ??? → „Životského""",Masná (Křenová),Chybějící zastávka mezi Vlhká a Životského na lince 9 je Masná (Křenová).
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Masná (Křenová)"" → ??? → „Geislerova""",Životského,Chybějící zastávka mezi Masná (Křenová) a Geislerova na lince 9 je Životského.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Životského"" → ??? → „Buzkova""",Geislerova,Chybějící zastávka mezi Životského a Buzkova na lince 9 je Geislerova.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Geislerova"" → ??? → „Otakara Ševčíka (Táborská)""",Buzkova,Chybějící zastávka mezi Geislerova a Otakara Ševčíka (Táborská) na lince 9 je Buzkova.
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Buzkova"" → ??? → „Dělnický dům""",Otakara Ševčíka (Táborská),Chybějící zastávka mezi Buzkova a Dělnický dům na lince 9 je Otakara Ševčíka (Táborská).
B,Doplň chybějící zastávku,"Linka 9 – doplň chybějící zastávku: „Otakara Ševčíka (Táborská)"" → ??? → „Židenice Juliánov""",Dělnický dům,Chybějící zastávka mezi Otakara Ševčíka (Táborská) a Židenice Juliánov na lince 9 je Dělnický dům.
B,Je zastávka na lince? (ANO),"Je zastávka „Lesná Čertova rokle"" na lince 9?",ANO,"Ano, zastávka Lesná Čertova rokle se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Halasovo náměstí"" na lince 9?",ANO,"Ano, zastávka Halasovo náměstí se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Fügnerova"" na lince 9?",ANO,"Ano, zastávka Fügnerova se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Bieblova"" na lince 9?",ANO,"Ano, zastávka Bieblova se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Lesnická"" na lince 9?",ANO,"Ano, zastávka Lesnická se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Zemědělská (Lesnická)"" na lince 9?",ANO,"Ano, zastávka Zemědělská (Lesnická) se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Tomanova"" na lince 9?",ANO,"Ano, zastávka Tomanova se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Jugoslávská (Lesná)"" na lince 9?",ANO,"Ano, zastávka Jugoslávská (Lesná) se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Dětská nemocnice"" na lince 9?",ANO,"Ano, zastávka Dětská nemocnice se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Náměstí 28. října"" na lince 9?",ANO,"Ano, zastávka Náměstí 28. října se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Moravské náměstí (Černá Pole)"" na lince 9?",ANO,"Ano, zastávka Moravské náměstí (Černá Pole) se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Česká (před kostelem)"" na lince 9?",ANO,"Ano, zastávka Česká (před kostelem) se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Náměstí Svobody"" na lince 9?",ANO,"Ano, zastávka Náměstí Svobody se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Zelný trh"" na lince 9?",ANO,"Ano, zastávka Zelný trh se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Hlavní nádraží (kolej 2)"" na lince 9?",ANO,"Ano, zastávka Hlavní nádraží (kolej 2) se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Vlhká"" na lince 9?",ANO,"Ano, zastávka Vlhká se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Masná (Křenová)"" na lince 9?",ANO,"Ano, zastávka Masná (Křenová) se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Životského"" na lince 9?",ANO,"Ano, zastávka Životského se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Geislerova"" na lince 9?",ANO,"Ano, zastávka Geislerova se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Buzkova"" na lince 9?",ANO,"Ano, zastávka Buzkova se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Otakara Ševčíka (Táborská)"" na lince 9?",ANO,"Ano, zastávka Otakara Ševčíka (Táborská) se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Dělnický dům"" na lince 9?",ANO,"Ano, zastávka Dělnický dům se nachází na lince 9."
B,Je zastávka na lince? (ANO),"Je zastávka „Židenice Juliánov"" na lince 9?",ANO,"Ano, zastávka Židenice Juliánov se nachází na lince 9."
B,Která zastávka NENÍ na lince,"Linka 9 – je zastávka „Řečkovice"" na této lince?",NE,Zastávka Řečkovice se NENACHÁZÍ na lince 9.
B,Která zastávka NENÍ na lince,"Linka 9 – je zastávka „Filkukova"" na této lince?",NE,Zastávka Filkukova se NENACHÁZÍ na lince 9.
B,Která zastávka NENÍ na lince,"Linka 9 – je zastávka „Kořískova"" na této lince?",NE,Zastávka Kořískova se NENACHÁZÍ na lince 9.
B,Která zastávka NENÍ na lince,"Linka 9 – je zastávka „Hudcova"" na této lince?",NE,Zastávka Hudcova se NENACHÁZÍ na lince 9.
B,Která zastávka NENÍ na lince,"Linka 9 – je zastávka „Vozovna Medlánky"" na této lince?",NE,Zastávka Vozovna Medlánky se NENACHÁZÍ na lince 9.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Lesná Čertova rokle"" od zastávky „Lesná Čertova rokle""?",1. zastávka,Zastávka Lesná Čertova rokle je 1. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Halasovo náměstí"" od zastávky „Lesná Čertova rokle""?",2. zastávka,Zastávka Halasovo náměstí je 2. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Fügnerova"" od zastávky „Lesná Čertova rokle""?",3. zastávka,Zastávka Fügnerova je 3. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Bieblova"" od zastávky „Lesná Čertova rokle""?",4. zastávka,Zastávka Bieblova je 4. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Lesnická"" od zastávky „Lesná Čertova rokle""?",5. zastávka,Zastávka Lesnická je 5. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Zemědělská (Lesnická)"" od zastávky „Lesná Čertova rokle""?",6. zastávka,Zastávka Zemědělská (Lesnická) je 6. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Tomanova"" od zastávky „Lesná Čertova rokle""?",7. zastávka,Zastávka Tomanova je 7. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Jugoslávská (Lesná)"" od zastávky „Lesná Čertova rokle""?",8. zastávka,Zastávka Jugoslávská (Lesná) je 8. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Dětská nemocnice"" od zastávky „Lesná Čertova rokle""?",9. zastávka,Zastávka Dětská nemocnice je 9. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Náměstí 28. října"" od zastávky „Lesná Čertova rokle""?",10. zastávka,Zastávka Náměstí 28. října je 10. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Moravské náměstí (Černá Pole)"" od zastávky „Lesná Čertova rokle""?",11. zastávka,Zastávka Moravské náměstí (Černá Pole) je 11. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Česká (před kostelem)"" od zastávky „Lesná Čertova rokle""?",12. zastávka,Zastávka Česká (před kostelem) je 12. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Náměstí Svobody"" od zastávky „Lesná Čertova rokle""?",13. zastávka,Zastávka Náměstí Svobody je 13. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Zelný trh"" od zastávky „Lesná Čertova rokle""?",14. zastávka,Zastávka Zelný trh je 14. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Hlavní nádraží (kolej 2)"" od zastávky „Lesná Čertova rokle""?",15. zastávka,Zastávka Hlavní nádraží (kolej 2) je 15. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Vlhká"" od zastávky „Lesná Čertova rokle""?",16. zastávka,Zastávka Vlhká je 16. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Masná (Křenová)"" od zastávky „Lesná Čertova rokle""?",17. zastávka,Zastávka Masná (Křenová) je 17. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Životského"" od zastávky „Lesná Čertova rokle""?",18. zastávka,Zastávka Životského je 18. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Geislerova"" od zastávky „Lesná Čertova rokle""?",19. zastávka,Zastávka Geislerova je 19. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Buzkova"" od zastávky „Lesná Čertova rokle""?",20. zastávka,Zastávka Buzkova je 20. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Otakara Ševčíka (Táborská)"" od zastávky „Lesná Čertova rokle""?",21. zastávka,Zastávka Otakara Ševčíka (Táborská) je 21. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Dělnický dům"" od zastávky „Lesná Čertova rokle""?",22. zastávka,Zastávka Dělnický dům je 22. zastávka linky 9 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 9 – kolikátá zastávka je „Židenice Juliánov"" od zastávky „Lesná Čertova rokle""?",23. zastávka,Zastávka Židenice Juliánov je 23. zastávka linky 9 od Lesná Čertova rokle.
B,Jaká je N. zastávka,Linka 9 – jaká je 1. zastávka (počítáno od Lesná Čertova rokle)?,Lesná Čertova rokle,1. zastávka linky 9 je Lesná Čertova rokle.
B,Jaká je N. zastávka,Linka 9 – jaká je 2. zastávka (počítáno od Lesná Čertova rokle)?,Halasovo náměstí,2. zastávka linky 9 je Halasovo náměstí.
B,Jaká je N. zastávka,Linka 9 – jaká je 3. zastávka (počítáno od Lesná Čertova rokle)?,Fügnerova,3. zastávka linky 9 je Fügnerova.
B,Jaká je N. zastávka,Linka 9 – jaká je 4. zastávka (počítáno od Lesná Čertova rokle)?,Bieblova,4. zastávka linky 9 je Bieblova.
B,Jaká je N. zastávka,Linka 9 – jaká je 5. zastávka (počítáno od Lesná Čertova rokle)?,Lesnická,5. zastávka linky 9 je Lesnická.
B,Jaká je N. zastávka,Linka 9 – jaká je 6. zastávka (počítáno od Lesná Čertova rokle)?,Zemědělská (Lesnická),6. zastávka linky 9 je Zemědělská (Lesnická).
B,Jaká je N. zastávka,Linka 9 – jaká je 7. zastávka (počítáno od Lesná Čertova rokle)?,Tomanova,7. zastávka linky 9 je Tomanova.
B,Jaká je N. zastávka,Linka 9 – jaká je 8. zastávka (počítáno od Lesná Čertova rokle)?,Jugoslávská (Lesná),8. zastávka linky 9 je Jugoslávská (Lesná).
B,Jaká je N. zastávka,Linka 9 – jaká je 9. zastávka (počítáno od Lesná Čertova rokle)?,Dětská nemocnice,9. zastávka linky 9 je Dětská nemocnice.
B,Jaká je N. zastávka,Linka 9 – jaká je 10. zastávka (počítáno od Lesná Čertova rokle)?,Náměstí 28. října,10. zastávka linky 9 je Náměstí 28. října.
B,Jaká je N. zastávka,Linka 9 – jaká je 11. zastávka (počítáno od Lesná Čertova rokle)?,Moravské náměstí (Černá Pole),11. zastávka linky 9 je Moravské náměstí (Černá Pole).
B,Jaká je N. zastávka,Linka 9 – jaká je 12. zastávka (počítáno od Lesná Čertova rokle)?,Česká (před kostelem),12. zastávka linky 9 je Česká (před kostelem).
B,Jaká je N. zastávka,Linka 9 – jaká je 13. zastávka (počítáno od Lesná Čertova rokle)?,Náměstí Svobody,13. zastávka linky 9 je Náměstí Svobody.
B,Jaká je N. zastávka,Linka 9 – jaká je 14. zastávka (počítáno od Lesná Čertova rokle)?,Zelný trh,14. zastávka linky 9 je Zelný trh.
B,Jaká je N. zastávka,Linka 9 – jaká je 15. zastávka (počítáno od Lesná Čertova rokle)?,Hlavní nádraží (kolej 2),15. zastávka linky 9 je Hlavní nádraží (kolej 2).
B,Jaká je N. zastávka,Linka 9 – jaká je 16. zastávka (počítáno od Lesná Čertova rokle)?,Vlhká,16. zastávka linky 9 je Vlhká.
B,Jaká je N. zastávka,Linka 9 – jaká je 17. zastávka (počítáno od Lesná Čertova rokle)?,Masná (Křenová),17. zastávka linky 9 je Masná (Křenová).
B,Jaká je N. zastávka,Linka 9 – jaká je 18. zastávka (počítáno od Lesná Čertova rokle)?,Životského,18. zastávka linky 9 je Životského.
B,Jaká je N. zastávka,Linka 9 – jaká je 19. zastávka (počítáno od Lesná Čertova rokle)?,Geislerova,19. zastávka linky 9 je Geislerova.
B,Jaká je N. zastávka,Linka 9 – jaká je 20. zastávka (počítáno od Lesná Čertova rokle)?,Buzkova,20. zastávka linky 9 je Buzkova.
B,Jaká je N. zastávka,Linka 9 – jaká je 21. zastávka (počítáno od Lesná Čertova rokle)?,Otakara Ševčíka (Táborská),21. zastávka linky 9 je Otakara Ševčíka (Táborská).
B,Jaká je N. zastávka,Linka 9 – jaká je 22. zastávka (počítáno od Lesná Čertova rokle)?,Dělnický dům,22. zastávka linky 9 je Dělnický dům.
B,Jaká je N. zastávka,Linka 9 – jaká je 23. zastávka (počítáno od Lesná Čertova rokle)?,Židenice Juliánov,23. zastávka linky 9 je Židenice Juliánov.
B,Seřaď zastávky,Linka 9 – seřaď tyto zastávky ve správném pořadí: Bieblova | Fügnerova | Halasovo náměstí | Lesnická | Lesná Čertova rokle,Lesná Čertova rokle → Halasovo náměstí → Fügnerova → Bieblova → Lesnická,Správné pořadí na lince 9: Lesná Čertova rokle → Halasovo náměstí → Fügnerova → Bieblova → Lesnická
B,Seřaď zastávky,Linka 9 – seřaď tyto zastávky ve správném pořadí: Bieblova | Fügnerova | Halasovo náměstí | Lesnická | Zemědělská (Lesnická),Halasovo náměstí → Fügnerova → Bieblova → Lesnická → Zemědělská (Lesnická),Správné pořadí na lince 9: Halasovo náměstí → Fügnerova → Bieblova → Lesnická → Zemědělská (Lesnická)
B,Seřaď zastávky,Linka 9 – seřaď tyto zastávky ve správném pořadí: Bieblova | Fügnerova | Lesnická | Tomanova | Zemědělská (Lesnická),Fügnerova → Bieblova → Lesnická → Zemědělská (Lesnická) → Tomanova,Správné pořadí na lince 9: Fügnerova → Bieblova → Lesnická → Zemědělská (Lesnická) → Tomanova
B,Seřaď zastávky,Linka 9 – seřaď tyto zastávky ve správném pořadí: Bieblova | Jugoslávská (Lesná) | Lesnická | Tomanova | Zemědělská (Lesnická),Bieblova → Lesnická → Zemědělská (Lesnická) → Tomanova → Jugoslávská (Lesná),Správné pořadí na lince 9: Bieblova → Lesnická → Zemědělská (Lesnická) → Tomanova → Jugoslávská (Lesná)
B,Seřaď zastávky,Linka 9 – seřaď tyto zastávky ve správném pořadí: Dětská nemocnice | Jugoslávská (Lesná) | Lesnická | Tomanova | Zemědělská (Lesnická),Lesnická → Zemědělská (Lesnická) → Tomanova → Jugoslávská (Lesná) → Dětská nemocnice,Správné pořadí na lince 9: Lesnická → Zemědělská (Lesnická) → Tomanova → Jugoslávská (Lesná) → Dětská nemocnice
B,Seřaď zastávky,Linka 9 – seřaď tyto zastávky ve správném pořadí: Dětská nemocnice | Jugoslávská (Lesná) | Náměstí 28. října | Tomanova | Zemědělská (Lesnická),Zemědělská (Lesnická) → Tomanova → Jugoslávská (Lesná) → Dětská nemocnice → Náměstí 28. října,Správné pořadí na lince 9: Zemědělská (Lesnická) → Tomanova → Jugoslávská (Lesná) → Dětská nemocnice → Náměstí 28. října
B,Seřaď zastávky,Linka 9 – seřaď tyto zastávky ve správném pořadí: Dětská nemocnice | Jugoslávská (Lesná) | Moravské náměstí (Černá Pole) | Náměstí 28. října | Tomanova,Tomanova → Jugoslávská (Lesná) → Dětská nemocnice → Náměstí 28. října → Moravské náměstí (Černá Pole),Správné pořadí na lince 9: Tomanova → Jugoslávská (Lesná) → Dětská nemocnice → Náměstí 28. října → Moravské náměstí (Černá Pole)
B,Seřaď zastávky,Linka 9 – seřaď tyto zastávky ve správném pořadí: Dětská nemocnice | Jugoslávská (Lesná) | Moravské náměstí (Černá Pole) | Náměstí 28. října | Česká (před kostelem),Jugoslávská (Lesná) → Dětská nemocnice → Náměstí 28. října → Moravské náměstí (Černá Pole) → Česká (před kostelem),Správné pořadí na lince 9: Jugoslávská (Lesná) → Dětská nemocnice → Náměstí 28. října → Moravské náměstí (Černá Pole) → Česká (před kostelem)
B,Seřaď zastávky,Linka 9 – seřaď tyto zastávky ve správném pořadí: Dětská nemocnice | Moravské náměstí (Černá Pole) | Náměstí 28. října | Náměstí Svobody | Česká (před kostelem),Dětská nemocnice → Náměstí 28. října → Moravské náměstí (Černá Pole) → Česká (před kostelem) → Náměstí Svobody,Správné pořadí na lince 9: Dětská nemocnice → Náměstí 28. října → Moravské náměstí (Černá Pole) → Česká (před kostelem) → Náměstí Svobody
